Task,"Parent Task",Status,Priority,Description,Assignee,Files,"Health State",https://miro.com/app/board/uXjVGRIXN-0=/?share_link_id=504822345877
"Template for interview questions for EP","Executive Producer Hiring",Done,High,"Standardised question set",Glen,,,
"Clarify ownership & decision making between designers and artists","Roles & Responsibilities Framework","Not started",Medium,"Build a clear decision making flow and accountability to remove conflicts and uncertainty",Glen,,,
"Give feedback on promotions presentation","Performance Review Process","Not started",Medium,,Glen,,,"{""originalUrl"":""https:\/\/couchheroes.slack.com\/archives\/C08L3QGJ0AE\/p1772630282819889"",""attachment"":{},""displayAsUrl"":false}"
"Gather contractor / employee ID and info","UK Transition Planning","In progress",,,Glen,,,"{""originalUrl"":""https:\/\/docs.google.com\/spreadsheets\/d\/1J0-lJg8RrN7xkh0x1JVxtAYLQAi3WF33Td3pFQ-Ccvc\/edit?gid=0#gid=0"",""attachment"":{},""displayAsUrl"":false}"
"Review FTE contract","UK Transition Planning","Not started",High,,Glen,,,"{""originalUrl"":""https:\/\/drive.google.com\/drive\/folders\/14vYrPChhwqt9TK2EbxMOcLXMfVbhXdxm"",""attachment"":{},""displayAsUrl"":false}"
"Handbook review and iteration","UK Transition Planning","Not started",High,,Glen,,,"{""originalUrl"":""https:\/\/drive.google.com\/drive\/folders\/14vYrPChhwqt9TK2EbxMOcLXMfVbhXdxm"",""attachment"":{},""displayAsUrl"":false}"
"Player target Segments","Publishing and BD",,,,,,,
"Go To Market Strategy","Publishing and BD",,,,,,,
"Build a solid website","Publishing and BD","In progress",Medium,"There is an existing website. It's pretty terrible. They're replacing it with a new one. It's taken roughly three months to build using full-stack engineers. It'll be a step-up iteration. We need to plan the next iteration to get it viable for the studio.",Glen,,,
"Scope features with the leads","Gamescom Preparations","Not started",Medium,"After the walkthrough is set, define the achievable scope for each feature we need to deliver and estimate it",Valeria,,,
"Prepare Investor/Partner Narrative","Gamescom Preparations","Not started",Medium,"With Vardis

Confirm that the walkthrough creates the right impression for partners and investors",Glen,,,
"Audit Platform readiness","Gamescom Preparations","Not started",Medium,"With <@U07K2JSAP9V>

Review the current stage of the platform and the connection between the web app and the game and decide on changes/additions",Glen,,,
"Define the game experience we want to achieve","Gamescom Preparations","Not started",Medium,"• Define features and mechanics players use
• Define the sequence that feels fun to play
• Define how the partner content is blended into this sequence to feel natural",Robin,,,
"Shape the player walkthrough","Gamescom Preparations","In progress",Medium,"• Set the walkthrough time per person
• Outline the narrative arc to follow and places to visit
• Assess the features we want to showcase and stages for each of them",Valeria,,,
,"Game Vision and Design","In progress",,,,,,
"AI Policy: verify final presentation item",,"Not started",High,"develop a clear AI policy to safeguard CH AI usage and IP",Glen,,Red,
"create lead level designer JD","Hiring Process & Infrastructure","In progress",High,"Build a job description for lead level designer and use the template, then get it approved so we can use that template boilerplate as the future structure for all job descriptions",Glen,,,
"Establish and maintain one-on-ones with Dino","Coaching Programme","In progress",Medium,"See Dino Notes for one-on-ones",,,,
"Establish and maintain one-on-ones with Lorenza","Coaching Programme","In progress",Medium,"See Lorenza notes for one-on-ones",Glen,,,
"Establish and maintain one-on-ones with Vardis","Coaching Programme","In progress",Medium,"See Vardis notes for one-on-ones",Glen,,,
"Establish and maintain one-on-ones with Aris","Coaching Programme","In progress",Medium,"See artist notes for one-on-ones",Glen,,,
"Establish and maintain one-on-ones with Mustafa","Coaching Programme","In progress",Medium,"See Mustafa notes for one-on-ones",Glen,,,
"Establish and maintain one-on-ones with Robin","Coaching Programme","In progress",Medium,"See Robin notes for one-on-ones",Glen,,,
"Establish and maintain one-on-ones with David","Coaching Programme","In progress",Medium,"See David notes for one-on-ones",Glen,,,
"Establish and maintain one-on-ones with Valeria","Coaching Programme","In progress",Medium,"See Valeria notes for one-on-ones",Glen,,,
"Identify staff and salary bands for targeted new roles added in the hiring process","Pay & Performance Governance",Done,High,"Take selected roles added in the hiring plan and establish salaries for the UK based on median salary in non-hub locations",Glen,,,
"Build and gain commitment on Pay and performance process for future delivery","Performance Review Process","In progress",Medium,"Process flow out all the steps and owners of the pay and performance review. The studio is identifying owners on specific areas and steps to go through. Create a Confluence-style article and Visio flow that supports us.",Glen,,,
"Support Dept heads and Leads through delivery","Performance Review Process","In progress",High,"4 challenge deliveries thus far all have been worked through",Glen,,,
"Statement of Work administration",,"Not started",Low,"Admin task, currently unassigned",,,,
"CTO Hiring","Hiring Process & Infrastructure","In progress",High,"Executive search for Chief Technology Officer",Glen,,,
"Build scorecard for EP interviews","Executive Producer Hiring","In progress",High,"Structured evaluation criteria",Glen,,,
"Make the implementation plan more human-readable","JIRA Implementation & Rollout","In progress",High,"Current plan is too technical for leads",Glen,,Red,
"Get bids for external UX research","Org Design Presentation & Strategy","Not started",Medium,"Vendor evaluation for outsourced UX",Glen,,,
"Define exit criteria per gate","Gate System Design & Rollout","Not started",High,"What must be true to pass each gate",Glen,,,
"Draft rationale and full gate structure","Gate System Design & Rollout","In progress",High,"Concept > Pre-Prod > Prod Start > Mid Prod > Late Prod > Alpha > Beta > Launch > First Release",Glen,,,
"Build training sessions, quick-start guides, and recordings","Agilefall Methodology Rollout","Not started",Medium,"Enablement materials for all staff",Glen,,,
"Pilot in two teams for one cadence, capture improvements","Agilefall Methodology Rollout","Not started",Medium,"Controlled test before full rollout",Glen,,,
"Handle change communications","Agilefall Methodology Rollout","Not started",Medium,"Studio-wide comms plan for the shift",Glen,,,
"Roll out with department leads and sub-leads, get commits","Agilefall Methodology Rollout","Not started",High,"Change management and buy-in",Glen,,,
"Define feature-based team structure (replacing department-based)","Agilefall Methodology Rollout",Planning,High,"Structural shift from dept to feature teams",Glen,,,
"Meet with Hannah: cover QA plan, headcount needs, internal vs external split","Org Design Presentation & Strategy","Not started",High,"Foundational QA planning session",Glen,,,
"Define target ways of working: cadence, estimation, DoR/DoD, scope control","Agilefall Methodology Rollout","In progress",High,"Target state documentation",Glen,,,
"Production audit: review current backlogs, pipelines, rituals","Agilefall Methodology Rollout","In progress",High,"Baseline assessment of current state",Glen,,,
"Review Hannah Pickard for combined QA / UX Research role","Org Design Presentation & Strategy","Not started",Medium,"Evaluate candidate fit for dual role",Glen,,,
"Build out the Agilefall plan with Valeria","Agilefall Methodology Rollout","In progress",High,"Core methodology design document",Glen,,,
"Send UX agency details","Org Design Presentation & Strategy","Not started",Medium,"Share agency info with team",Glen,,,
"Integrate production backlog into gate system","Gate System Design & Rollout","Not started",High,"Align existing work to gate structure",Glen,,,
"Set up one with Hannah","Org Design Presentation & Strategy","Not started",High,"Set up a one-on-one with Hannah to support her as she is the solo QA. We will need to start doing builds and rapid iteration testing so we need to not only understand where she is, what she's already done, but establish what she needs in support of the edit workload coming her way",,,,
"Review and assess primary tool set, specifically test rail and purchase tool set","Org Design Presentation & Strategy","Not started",Medium,"On top of test rail, look at AI implementations that could support and scale QA in a way that mitigates large team",,,,
"Align with Hannah on overall team size at phases of development","Org Design Presentation & Strategy","Not started",High,"Structure team and hiring process for expected needs going into heavier velocity production",,,,
"Gate System Design & Rollout","Org Design Presentation & Strategy","In progress",High,"Define milestone gates from Concept through First Release with exit criteria and review process",Glen,,,
"Agilefall Methodology Rollout","Org Design Presentation & Strategy","In progress",High,"Design and roll out Agilefall production methodology studio-wide",Glen,,,
"Get commits and go live","JIRA Implementation & Rollout","Not started",High,"Final sign-off from leads",Glen,,,
"Finalise org design presentation (3 models: A/B/C)","Org Design Presentation & Strategy","In progress",Urgent,"Three alternatives for executive leadership review",Glen,,,
"Walk through with leads on February 18th","JIRA Implementation & Rollout","Not started",High,"Presentation and Q&A with all department leads",Glen,,,
"Build Miro board implementation flow","JIRA Implementation & Rollout","In progress",High,"Visual flow for how JIRA will be used",Glen,,,
"Build Excel project plan for implementation","JIRA Implementation & Rollout",Drafted,High,"Detailed rollout timeline and dependencies",Glen,F0AFU4QRV4H,,
"Build out master system board (with Valeria)","JIRA Implementation & Rollout","In progress",High,"Central board setup and configuration",Glen,,,
"Define Jira rules and workflow configuration (with Valeria)","JIRA Implementation & Rollout","In progress",High,"Rules for statuses, fields, transitions",Glen,,,
"Studio walkthrough and commitment","Gate System Design & Rollout","Not started",High,"Present to studio and get sign-off",Glen,,,
"Create risk and dependency register with owners and SLAs","Gate System Design & Rollout","Not started",Medium,"Foundational risk tracking tied to gates",Glen,,,
"Build/confirm interview brief for EP role","Executive Producer Hiring",Done,Urgent,"Equivalent to the one built for Cam's role",Glen,,,
"Performance Review Process","Performance Review Process","Not started",High,"Complete current cycle actions and build infrastructure for next cycle",Glen,,,
"Set up interview panel with Leads","Executive Producer Hiring",Done,Urgent,"Identify panel members and schedule",Glen,,,
"Executive Producer Hiring","Hiring Process & Infrastructure","In progress",Urgent,"CRITICAL FIRST HIRE: Set up full interview process for EP role",Glen,,,
"Discuss next steps and risks (EOR, visa, etc.)","UK Transition Planning","Not started",Medium,"Risk assessment with Lorenza once unblocked",Glen,,,
"Review Lorenza's finalised transition checklist","UK Transition Planning","Not started",Medium,"Checklist review once unblocked",Glen,,,
"UK Transition Planning",,"In progress",Medium,"Build out a complete and comprehensive plan on moving staff under an LLC in the UK establish the following categories:
• Staff and staff regulation
• Financing
• Operational needs according to Home Office rules
• Who handles tax?
• Who handles budget?
• Communications to staff on transition
• Timing - schedule 
    ◦ Legal Checklist 
    ◦ Payroll check 
    ◦ Communication checklist 
    ◦ Certificate of Sponsorship Detail and Checklist 
",Glen,,Yellow,
"Follow back up with Raynor to confirm everything is copacetic","Pay & Performance Governance","Not started",Medium,"Check alignment on salary and bonus equity",Glen,,,
"Structure salary bands for pay review","Pay & Performance Governance",Done,High,"Compensation bands by level and role - celery pans globally were researched and identified and delivered and ingested into the existing staff files",Glen,,,
"Decide on Dino's performance review (on hold until Aris)","Performance Review Process","Not started",Medium,"BLOCKED: waiting on Aris decision",Glen,,,
"Train leads on PIP handling and delivery","Performance Review Process","Not started",Medium,"Capability building for difficult conversations",Glen,,,
"Put coaching and performance check processes in place before next cycle","Performance Review Process","Not started",High,"Prevent inaccurate ratings next round",Glen,,,
"Book meeting with Aris about Valeria","Performance Review Process",Done,High,"Schedule once Aris is available",Glen,,,
"Give Lorenza feedback on Valeria performance review template","Performance Review Process",Done,High,"Review the linked document and provide feedback",Glen,,,
"Pay & Performance Governance","Performance Review Process","Not started",High,"Build compensation governance framework for ongoing use",Glen,,,
"Roadmap & Cadence Rollout","Org Design Presentation & Strategy","Not started",High,"Establish roadmap-based production rhythm and rituals",Glen,,,
"Share salary file with Heads of Departments","Salary Review Delivery",Done,Urgent,"Distribute to HoDs so delivery conversations can start",Glen,,,
"Fix the formula on the salary file","Salary Review Delivery",Done,,"Formula issue blocking final version",Lorenza,,,
"Send the final salary file worldwide","Salary Review Delivery",Done,,"WIP, needs to go out ASAP",Glen,,,
"Salary Review Delivery","Pay & Performance Governance",Done,Urgent,"URGENT: Complete and distribute salary file, enable delivery conversations across studio",Glen,,,
"Studio review, approval, and commitment","Roles & Responsibilities Framework","Not started",Medium,"Studio-wide sign-off on framework",Glen,,,
"Build a RACI matrix","Roles & Responsibilities Framework","Not started",High,"Clear ownership and accountability mapping",Glen,,,
"Build position and level grades per role","Roles & Responsibilities Framework","Not started",High,"Leveling framework for all positions",Glen,,,
"Roles & Responsibilities Framework","Roles & Responsibilities Framework","Not started",High,"Build leveling framework, RACI matrix, and get studio commitment",Glen,,,
"Talk with David about Lead Animator (current candidate may not be best choice)","Roles & Responsibilities Framework",Done,Medium,"Get David's input on direction - this was done. He preferred his top candidate",Glen,,,
"Configure goals and OKR tracking","Roadmap & Cadence Rollout","Not started",Medium,"Set up tracking infrastructure",Glen,,,
"Align leadership on cadence: 2-day quarterly planning, 2-week sprints, weekly health checks","Roadmap & Cadence Rollout","Not started",High,"Get leadership buy-in on rhythm",Glen,,,
"Hire Lead Animator","Roles & Responsibilities Framework",Done,High,"We hired Alon who is working partial weeks until he finishes his contract with Rick Kindled over the next few months. Legal constraints and risks were assessed. Contracts were put in place. Dino reviewed. Lorenza set up all of the logistics. Alon is started.",Glen,,,
"Move to roadmap-based production with feature-based teams","Roadmap & Cadence Rollout","Not started",High,"Shift from dept-based to feature-based delivery",Glen,,,
,"Coaching Programme",,,,,,,
